url,section_title,section_level,content,category
https://www.apple.com,Apple,h1,Apple Watch Series 11Turn resolutions into routines. Quit quitting your fitness goals.Learn moreBuyiPhoneSay hello to the latest generation of iPhone.Learn moreShop iPhoneiPad AirNow supercharged by the M3 chip.Learn moreBuyMacBook AirSky blue color.Sky high performance with M4.Learn moreBuyiPadNow with the speed of the A16 chip and double the starting storage.Learn moreBuyApple Watch Ultra 3Personal beast.Learn moreBuyAirPods Pro 3The world’s best in-ear Active Noise Cancellation.Learn moreBuyApple Trade InGet up to $180–$650 in credit when you trade in iPhone 13 or higher.1Get your estimateApple CardGet up to 3% Daily Cash back with every purchase.Learn moreApply nowApply nowEndless entertainment.Item 1Item 2Item 3Item 4Item 5Item 6Item 7Item 8Item 9Stream nowAction4 Oscar® Nominations Including Best PictureStream nowDocumentaryOscar® Nominee: Best DocumentaryStream nowThrillerNew season.Stream nowDramaNew season.Stream nowDramaHappiness is a state of mind.Stream nowThrillerA secret agent embarks on her most dangerous mission yet.Stream nowComedyGetting it together. Together.Stream nowDramaThe truth is the top story.Stream nowComedyKindness makes a comeback.Sabrina Carpenter: The Zane Lowe InterviewListen nowSabrina Carpenter: The Zane Lowe InterviewPlay nowNBA 2K26 Arcade EditionWatch nowTop Fitness Songs of 2025A-List PopListen nowA-List PopPlay nowHello Kitty Island AdventureWatch nowHIIT with Jamie-RayNew Music DailyListen nowNew Music DailyPlay nowAngry Birds BounceWatch nowNo-Shoes WorkoutsMore from Apple.Watch the latest brand films from Apple.Designed for Every StudentThe Underdogs: Blue Screen of DeathJackson Wang: Let LooseDear AppleNo Frame MissedWatch the filmDesigned for Every StudentAccessibilityWatch the filmThe Underdogs: Blue Screen of DeathApple at WorkWatch the filmJackson Wang: Let LooseShot on iPhone 17 ProWatch the filmDear AppleApple WatchWatch the filmNo Frame MissedAccessibility,Other
https://www.apple.com,Apple Watch Series 11,h2,Turn resolutions into routines. Quit quitting your fitness goals. Learn moreBuy,Other
https://www.apple.com,iPhone,h2,Say hello to the latest generation of iPhone. Learn moreShop iPhone,Contact Information
https://www.apple.com,iPad Air,h2,Now supercharged by the M3 chip. Learn moreBuy,Other
https://www.apple.com,MacBook Air,h3,Sky blue color.Sky high performance with M4. Learn moreBuy,Other
https://www.apple.com,iPad,h3,Now with the speed of the A16 chip and double the starting storage. Learn moreBuy,Other
https://www.apple.com,Apple Watch Ultra 3,h3,Personal beast. Learn moreBuy,Other
https://www.apple.com,AirPods Pro 3,h3,The world’s best in-ear Active Noise Cancellation. Learn moreBuy,Other
https://www.apple.com,Apple Trade In,h3,Get up to $180–$650 in credit when you trade in iPhone 13 or higher.1 Get your estimate,Other
https://www.apple.com,Apple Card,h3,Get up to 3% Daily Cash back with every purchase. Learn moreApply nowApply now,Other
https://www.apple.com,Endless entertainment.,h2,,Other
https://www.apple.com,More from Apple.Watch the latest brand films from Apple.,h2,,Other
https://www.github.com,The future of building happens together,h1,"Tools and trends evolve, but collaboration endures. With GitHub, developers, agents, and code come together on one platform.",Other
https://www.github.com,GitHub features,h2,"A demonstration animation of a code editor using GitHub Copilot Chat, where the user requests GitHub Copilot to refactor duplicated logic and extract it into a reusable function for a given code snippet.",Features/Capabilities
https://www.github.com,GitHub customers,h2,American AirlinesDuolingoErnst and YoungFordInfoSysMercado LibreMercedes-BenzShopifyPhilipsSociété GénéraleSpotifyVodafoneAmerican AirlinesDuolingoErnst and YoungFordInfoSysMercado LibreMercedes-BenzShopifyPhilipsSociété GénéraleSpotifyVodafone,Testimonials/Reviews
https://www.github.com,Your AI partner everywhere.Copilot is ready to work with you at each step of the software development lifecycle.,h3,Explore GitHub Copilot,Case Studies/Portfolio
https://www.github.com,Automate your path to production,h3,,Products/Services
https://www.github.com,Code instantly from anywhere,h3,,Other
https://www.github.com,Keep momentum on the go,h3,,Other
https://www.github.com,Shape your toolchain,h3,,Other
https://www.github.com,Apply fixes in seconds.Spend less time debugging and more time building features with Copilot Autofix.,h3,Explore GitHub Advanced Security,Features/Capabilities
https://www.github.com,Plan with clarity.Organize everything from high-level roadmaps to everyday tasks.,h3,Explore GitHub Projects,Pricing/Plans
https://www.github.com,Keep track of your tasks,h3,,Other
https://www.github.com,Share ideas and ask questions,h3,,FAQ/Help
https://www.github.com,Review code changes together,h3,,Testimonials/Reviews
https://www.github.com,Fund open source projects,h3,,Case Studies/Portfolio
https://www.github.com,Millions of developers and businesses call GitHub home,h2,"Whether you’re scaling your development process or just learning how to code, GitHub is where you belong. Join the world’s most widely adopted developer platform to build the technologies that shape what’s next. Enter your emailSign up for GitHubTry GitHub Copilot free",Other
https://stripe.com,Learn why BMW chose Stripe to power ecommerce and payments,h1,,Other
https://stripe.com,See how Amazon simplified cross-border payments with Stripe,h1,,Other
https://stripe.com,See how Maersk tapped into new technology to make it easier to ship around the world,h1,,Other
https://stripe.com,See how Twilio increased authorization rates by 10% with Stripe,h1,,Other
https://stripe.com,Cloud token,h2,"Previous period80,250,068Current period68,491,224 Apr 24Apr 25Apr 26Apr 27Apr 28Apr 29Apr 30",Other
https://stripe.com,Previous period,h3,"80,250,068",Other
https://stripe.com,Current period,h3,"68,491,224",Other
